,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,TargetPrice,JLCPCB Part #,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,100nf,Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R,"C6, C23, C24, C25, C26, C28, C34, C35, C36, C39",CMP-13271-001069-1,Up to date,10,0,C133086,Samsung,CL05B104KP5NNNC,Volume Production,Digikey,1276-1002-6-ND,0.004,0.4
,,2.2uF,CAP CER 2.2UF 10V X5R 0402,"C31, C32, C37",CMP-03422-000618-1,Up to date,3,0,C326606,Yageo,CC0402KRX5R6BB225,Volume Production,Digikey,311-1686-1-ND,0.053,1.59
,,BM10B-SURS-TF(LF)(SN),CONN HEADER SMD 10POS 0.8MM,J9,CMP-17439-000608-1,Up to date,1,0,C5306166,JST,BM10B-SURS-TF(LF)(SN),Unknown,,,,
,,U.FL-R-SMT(10),"Ultra Small Surface Mount Coaxial Connector, 50 Ohm, -40 to 90 degC, 3-Pin SMD, RoHS, Tape and Reel",SYNC,CMP-002-00035-2,Up to date,1,0,C5137195,Hirose,U.FL-R-SMT(10),Volume Production,Digikey,H9161DKR-ND,0.975,9.75
,,QBLP595-IG,"Chip LED 0402, Green, 0.02 A, 3.1 to 3.7 V, -40 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",V3,CMP-007-00041-3,Up to date,1,0,C264408,QT-Brightek,QBLP595-IG,Unknown,Digikey,1516-1216-6-ND,0.181,1.81
,,QBLP595-R,"Chip LED 0402, Red, 0.02 A, 2.0 to 2.5 V, -40 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",ERR,CMP-007-00040-3,Up to date,1,0,C71911,QT-Brightek,QBLP595-R,Unknown,Digikey,1516-1217-6-ND,0.167,1.67
,,27K,,R1,CMP-2002-07025-1,Up to date,1,0,C138022,Yageo,RC0402FR-0727KL,Volume Production,Digikey,311-27.0KLRCT-ND,0.008,0.08
,,10K,,"R2, R4, R5, R24, R25, R26, R36, R38",CMP-2002-07353-1,Up to date,8,0,C60490,Yageo,RC0402FR-0710KL,Volume Production,Digikey,311-10.0KLRDKR-ND,0.0081,0.81
,,56K,,R3,CMP-1011-00708-2,Up to date,1,0,C114756,Yageo,RC0402FR-0756KL,Volume Production,Digikey,311-56.0KLRCT-ND,0.007,0.07
,,2.2K,,"R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23",CMP-2002-07567-1,Up to date,16,0,C114762,Yageo,RC0402FR-072K2L,Volume Production,Digikey,311-2.20KLRDKR-ND,0.0071,1.136
,,270,,"R33, R34",CMP-2002-07003-1,Up to date,2,0,C163474,Yageo,RC0402FR-07270RL,Volume Production,Digikey,311-270LRDKR-ND,0.007,0.14
,,ST1L05BPUR,"Very Low Quiescent BiCMOS Voltage Regulator, Adjustable Vo, 6-Pin VFDFPN, Tape and Reel",U1,CMP-0244-00292-1,Up to date,1,0,C155640,STMicroelectronics,ST1L05BPUR,Volume Production,Digikey,497-6829-1-ND,0.731,7.31
,,ST1L05CPU33R,"Very Low Quiescent BiCMOS Voltage Regulator, 3.3V, 6-Pin VFDFPN, Tape and Reel","U3, U6",CMP-0244-00293-1,Up to date,2,0,C2969933,STMicroelectronics,ST1L05CPU33R,Volume Production,Digikey,497-10617-1-ND,0.731,14.62
,,ICM-20948,"World’s Lowest Power 9-Axis MEMS MotionTracking(TM) Device, 1.71 to 3.6 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",U5,CMP-2000-07532-1,Up to date,1,0,C726001,TDK,ICM-20948,Unknown,,,,
,,5.1k,,"R31, R32",CMP-2002-07753-1,Up to date,2,0,C105872,Yageo,RC0402FR-075K1L,Volume Production,Digikey,311-5.10KLRDKR-ND,0.008,0.16
,,4.7uF,CAP CER 4.7UF 10V X5R 0402,"C1, C2, C3, C4, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C27, C30",CMP-2000-05997-2,Up to date,16,0,C82864,TDK,C1005X5R1A475K050BC,Volume Production,Digikey,445-13820-6-ND,0.098,15.68
,,100nF,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C5, C8, C9",CMP-2008-04639-2,Up to date,3,0,C77020,Murata,GRM155R71H104KE14D,Volume Production,Digikey,490-10700-6-ND,0.023,0.69
,,Capacitor 1 uF +/- 10% 6.3 V 0402,"Chip Capacitor, 1 uF, +/- 10%, 6.3 V, 0402 (1005 Metric)","C7, C29, C33, C38",CMP-001-00008-6,Up to date,4,0,C14445,Kyocera AVX,04026D105KAT2A,Volume Production,Digikey,478-KGM05AR50J105KHCT-ND,0.017,0.68
,,6pF,Multi-Layer Ceramic Capacitor 6pF C0G  ±0.25pF 0402 Paper T/R,"C21, C22",CMP-2008-03869-2,Up to date,2,0,C161330,Murata,GJM1555C1H6R0CB01D,Volume Production,Digikey,490-3104-1-ND,0.036,0.72
,,1-2328702-0,No Description Available,"J1, J2, J3, J4, J5, J6, J7, J8",,,8,0,C3167956,,,,,,,
,,2.2k,,"R6, R7",CMP-2002-07517-1,Up to date,2,0,C82868,Yageo,RC0402FR-0722KL,Volume Production,,,,
,,8.06K,,R37,CMP-2002-07081-1,Up to date,1,0,C276278,Yageo,RC0402FR-078K06L,Volume Production,Digikey,311-8.06KLRDKR-ND,0.008,0.08
,,STM32H743VIH6,HIGH-PERFORMANCE AND DSP WITH DP,U2,CMP-12105-000020-1,Up to date,1,0,C964146,STMicroelectronics,STM32H743VIH6,Volume Production,Digikey,497-STM32H743VIH6-ND,12.814,128.14
,,TCA9548ARGERQ1,IC BUS SWITCH 1 X 8:1 24VQFN,U4,CMP-04892-000080-1,Up to date,1,0,C2674697,Texas Instruments,TCA9548ARGERQ1,Volume Production,Digikey,296-TCA9548ARGERQ1CT-ND,1.537,15.37
,,USB3320C-EZK-TR,IC TRANSCEIVER HALF 1/1 32QFN,U7,CMP-0186-00336-2,Up to date,1,0,C132156,Microchip,USB3320C-EZK-TR,Volume Production,Digikey,USB3320C-EZK-DKR-ND,2.17,21.7
,,24MHz,CRYSTAL 24.0000MHZ 6PF SMD,Y1,CMP-06054-000017-1,Up to date,1,0,C127895,Murata,XRCGB24M000F3M00R0,Volume Production,Digikey,490-5576-1-ND,0.269,2.69
,,EVP-AWED4A,Tactile Switch SPST-NO Top Actuated Surface Mount,RST,CMP-050-000000-1,Up to date,1,0,C585166,,,,,,,
,,Resistor 4K7  +/-1 % 0402 63 mW,"Chip Resistor, 4,7 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R27, R28, R29, R30, R35, R39, R40, R41",CMP-009-00158-3,Up to date,8,0,C25900,Bourns,CR0402-FX-4701GLF,Volume Production,Digikey,CR0402-FX-4701GLFDKR-ND,0.0063,0.63
,,SN74LV1T125DBVR,"Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable), DBV0005A, LARGE T&R","U8, U9",CMP-0859-00122-3,Up to date,2,0,C473338,Texas Instruments,SN74LV1T125DBVR,Volume Production,Digikey,296-37172-6-ND,0.265,5.3
