,Line #,Name,Description,Designator,Revision Status,Quantity,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Subtotal 1
,,4.7uF,"Capacitor,4.7µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)",C1,,1,CAP_CC0201_YAG,,,,,,
,,1uF,"Capacitor,1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","C2, C3, C4, C5, C6, C9, C10",,7,CAP_CC0201_YAG,,,,,,
,,0.1uF,"CAP,0.1µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","C7, C11, C12, C17, C18, C19, C20, C21",,8,CAP_CC0201_YAG,,,,,,
,,2.2uF,"CAP,2.2µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","C8, C13, C14, C15, C16",,5,CAP_CC0201_YAG,,,,,,
,,10K,"RES, 10 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film","R1, R7",,2,RESC0603X28N,,,,,,
,,20K,"RES, 20 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R2,,1,RESC0603X28N,,,,,,
,,30K,"RES, 30 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R3,,1,RESC0603X28N,,,,,,
,,DNP,"RES, 100 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R6,,1,RESC0603X28N,,,,,,
,,100K,"RES, 100 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R8,,1,RESC0603X28N,,,,,,
,,MIC5335-JGYMT-TR,"IC, Linear Voltage Regulator IC Positive Fixed 2 Output 300mA, 300mA 6-TMLF® (1.6x1.6)",U1,,1,TMLF-6_MT_MCH,,,,,,
,,LIF-MD6000-6UWG36ITR,"IC, FPGA - Field Programmable Gate Array Crosslink Interface MIPI D-Phy Bridge",U2,,1,BGA36N40P6X6_248X254X57N,,,,,,
,,0X02C1B,"IC, Camersa Sensor",U3,,1,OV_CSP-56,,,,,,
,,NCP156ABFCT120280T2G,"IC, LDO Voltage Regulators DUAL 500 MA / 250 M A LDO",U4,,1,NCP156,,,,,,
,,10K,"RES, 10 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R9,,1,RESC0603X28N,,,,,,
,,ECS-1618-480-BN-TR,"48MHz XO (Standard) CMOS Oscillator 1.8V Enable/Disable 4-SMD, No Lead",Y1,,1,OSC_ECS-1633-480-BN-TR,,,,,,
,,flex tail,"Connector,10 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",J1,,1,flex tail,,,,,,
,,DNP,"RES, 10 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 _0603 Metric_ Thick Film",R10,,1,RESC0603X28N,,,,,,
