,Line #,Name,Description,Designator,Revision Status,Quantity,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Subtotal 1
,,4.7uF,"Capacitor, 4.7 µF ±10% 35V Ceramic Capacitor X5R 0805 (2012 Metric)","C53, C57",,2,CAPC2012X135N,,,,,,
,,47uF,"Capacitor,47 µF ±10% 16V Ceramic Capacitor X5R 1210 (3225 Metric)","C21, C23, C24, C27, C28, C34, C36, C360, C361, C362, C369, C370, C371, C372, C373, C374, C375",,17,CAP_CL32_SAM,,,,,,
,,22uF,"Capacitor, 22 µF ±20% 10V Ceramic Capacitor X5R 0805 (2012 Metric)","C178, C184, C193, C402, C408, C417, C458, C464, C473",,9,CAPC2012X140N,,,,,,
,,0.1uF,"CAP, 0.1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C8, C11, C13, C14, C16, C22, C25, C30, C31, C32, C33, C35, C38, C39, C47, C48, C55, C61, C63, C65, C80, C88, C90, C91, C95, C96, C97, C100, C103, C104, C106, C108, C112, C130, C131, C132, C134, C137, C141, C142, C143, C146, C147, C158, C160, C161, C162, C163, C164, C167, C168, C173, C175, C179, C182, C183, C185, C187, C191, C192, C195, C196, C200, C202, C205, C207, C208, C210, C215, C218, C220, C221, C223, C229, C230, C232, C233, C234, C235, C237, C238, C239, C240, C242, C243, C244, C245, C246, C249, C250, C251, C252, C286, C310, C313, C315, C316, C317, C319, C320, C321, C322, C324, C326, C329, C330, C332, C334, C339, C342, C343, C344, C345, C346, C350, C355, C359, C366, C376, C381, C383, C391, C392, C397, C398, C399, C403, C406, C407, C409, C411, C415, C416, C419, C420, C437, C438, C443, C447, C448, C453, C455, C459, C462, C463, C465, C467, C471, C472, C475, C477, C480, C481, C525, C528, C532, C533, C534, C535, C536, C537, C538, C539, C540, C541, C542, C544, C545, C546, C547, C549, C550, C553, C554, C555, C556, C558",,177,G-155_MUR,,,,,,
,,1uF,"CAP, 1µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C20, C43, C52, C85, C99, C109, C111, C204, C384, C504, C510, C513, C515",,13,G-155_MUR,,,,,,
,,22uF,"CAP, 22 µF ±20% 25V Ceramic Capacitor X5S 0603 (1608 Metric","C180, C189, C198, C404, C413, C422, C460, C469, C478",,9,CAPC17795_95N_KEM,,,,,,
,,10uF,"CAP, 10 µF ±20% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C113, C118, C120, C122, C172, C209, C211, C222, C224, C231, C236, C248, C314, C318, C358, C516, C529, C530, C531, C543, C548, C551",,22,CAP_GRM188_MUR,,,,,,
,,0.1uF,"CAP, 0.1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C58, C72, C107, C385, C386",,5,G-155_MUR,,,,,,
,,0.1uF,"CAP, 0.1upF ±10% 200V Ceramic Capacitor X7R 0603 (1608 Metric)",C156,,1,CAPC17795_95N_KEM,,,,,,
,,4.7uF,"CAP, 4.7 µF ±20% 16V Ceramic Capacitor X5R 0402 (1005 Metric)",C102,,1,CAP_CC0402_YAG,Murata,GRM155R62A104ME14D,Volume Production,Arrow Electronics,GRM155R62A104ME14D,74
